Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, TTLCONS, CPIAUCSL, RSAFS, REVOLSL, SP500",0.7605948051417476,0.7573077772947235,3.0764538219981024e-132,4415.716415596433,4444.387187533458,"const: -6.5035, PI: 0.0007, TTLCONS: 0.0001, CPIAUCSL: 0.3928, RSAFS: -0.0003, REVOLSL: 0.0974, SP500: 0.0212"
"PI, TTLCONS, CPIAUCSL, RSAFS, REVOLSL, DJIA",0.7564199777895431,0.753075629658507,1.3298948918819888e-130,4423.392300677778,4452.063072614803,"const: 2.3300, PI: 0.0027, TTLCONS: 0.0001, CPIAUCSL: 0.2625, RSAFS: -0.0003, REVOLSL: 0.0838, DJIA: 0.0022"
"PI, TTLCONS, CPIAUCSL, RSAFS, SP500, DJIA",0.7474146067195746,0.7439466150498205,3.6180311505263676e-127,4439.511214921322,4468.181986858347,"const: -16.8284, PI: 0.0046, TTLCONS: 0.0001, CPIAUCSL: 0.5019, RSAFS: -0.0003, SP500: 0.0383, DJIA: -0.0032"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, REVOLSL",0.7593468569940824,0.756042694847548,9.549896794066497e-132,4418.0248443102155,4446.695616247241,"const: 93.7109, PI: 0.0072, TTLCONS: 0.0000, CPIAUCSL: -1.6943, PPIACO: 1.1136, NASDAQCOM: 0.0050, REVOLSL: 0.0740"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, SP500",0.7511718440092634,0.7477554391215188,1.3824450820585218e-128,4432.857048582347,4461.527820519372,"const: 50.0048, PI: 0.0023, TTLCONS: 0.0001, CPIAUCSL: -0.9281, PPIACO: 1.0051, NASDAQCOM: 0.0028, SP500: 0.0073"
"PI, TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM, DJIA",0.7520393600347752,0.7486348661222092,6.459955823791003e-129,4431.306379525474,4459.977151462499,"const: 48.6701, PI: 0.0016, TTLCONS: 0.0001, CPIAUCSL: -0.9257, PPIACO: 1.0431, NASDAQCOM: 0.0028, DJIA: 0.0010"
"PI, TTLCONS, CPIAUCSL, PPIACO, REVOLSL, SP500",0.771006379866412,0.7678623027021064,1.907715043233622e-136,4395.97468868821,4424.6454606252355,"const: 67.9663, PI: -0.0010, TTLCONS: 0.0000, CPIAUCSL: -1.3522, PPIACO: 1.2410, REVOLSL: 0.1231, SP500: 0.0224"
"PI, TTLCONS, CPIAUCSL, PPIACO, REVOLSL, DJIA",0.770382275184033,0.76722962907672,3.452129494230465e-136,4397.183130882615,4425.85390281964,"const: 73.2529, PI: -0.0004, TTLCONS: 0.0000, CPIAUCSL: -1.4834, PPIACO: 1.3296, REVOLSL: 0.1156, DJIA: 0.0026"
"PI, TTLCONS, CPIAUCSL, PPIACO, SP500, DJIA",0.750410209583678,0.7469833474726988,2.6902095638312177e-128,4434.214005933562,4462.884777870587,"const: 64.3914, PI: 0.0038, TTLCONS: 0.0001, CPIAUCSL: -1.2772, PPIACO: 1.2146, SP500: -0.0256, DJIA: 0.0044"
"PI, TTLCONS, CPIAUCSL, NASDAQCOM, REVOLSL, SP500",0.7495409126731585,0.7461021151354902,5.737404770230864e-128,4435.75772789461,4464.428499831635,"const: 31.4234, PI: -0.0017, TTLCONS: 0.0000, CPIAUCSL: 0.0675, NASDAQCOM: 0.0032, REVOLSL: 0.0993, SP500: 0.0170"
"PI, TTLCONS, CPIAUCSL, NASDAQCOM, REVOLSL, DJIA",0.7472474666220594,0.7437771801225912,4.1787945317910904e-127,4439.804920190956,4468.475692127981,"const: 35.9304, PI: -0.0006, TTLCONS: 0.0000, CPIAUCSL: 0.0025, NASDAQCOM: 0.0038, REVOLSL: 0.0889, DJIA: 0.0017"
"PI, TTLCONS, CPIAUCSL, NASDAQCOM, SP500, DJIA",0.7347509514609541,0.7311090880942853,1.5342101733062034e-122,4461.231609540875,4489.9023814779,"const: 25.0980, PI: 0.0022, TTLCONS: 0.0000, CPIAUCSL: 0.1425, NASDAQCOM: 0.0034, SP500: 0.0152, DJIA: -0.0010"
"PI, TTLCONS, CPIAUCSL, REVOLSL, SP500, DJIA",0.7512713891114765,0.7478563509757072,1.2670451071122426e-128,4432.6793883477185,4461.350160284744,"const: 34.1846, PI: -0.0005, TTLCONS: 0.0000, CPIAUCSL: -0.0173, REVOLSL: 0.1214, SP500: 0.0806, DJIA: -0.0070"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, NASDAQCOM",0.7653246767014458,0.7621025898827013,3.979699381364362e-134,4406.8566013842155,4435.527373321241,"const: -24.2126, PI: 0.0014, TTLCONS: 0.0001, PCESV: 0.0039, RSAFS: -0.0004, PPIACO: 0.6844, NASDAQCOM: 0.0054"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, REVOLSL",0.7515577901532979,0.7481466842972792,9.85807882461278e-129,4432.167845548618,4460.838617485643,"const: -24.3173, PI: 0.0061, TTLCONS: 0.0001, PCESV: 0.0063, RSAFS: -0.0004, PPIACO: 0.4736, REVOLSL: -0.0168"
"PI, TTLCONS, PCESV, RSAFS, PPIACO, SP500",0.7737811601308229,0.7706751806360516,1.338883320087517e-137,4390.561753829219,4419.232525766244,"const: -26.9654, PI: -0.0035, TTLCONS: 0.0001, PCESV: 0.0071, RSAFS: -0.0004, PPIACO: 0.8825, SP500: 0.0165"
