Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
"CPIAUCSL, PPIACO, REVOLSL",0.6718101373723839,0.6695724792181047,4.853373389231925e-106,4549.769465912854,4566.152764162583
"CPIAUCSL, PPIACO, SP500",0.7121588871912449,0.710196334149367,1.4612081947606384e-118,4491.523923480025,4507.9072217297535
"CPIAUCSL, NASDAQCOM, REVOLSL",0.7313986800364474,0.7295673074003322,3.6360880904129195e-125,4460.80780903037,4477.191107280099
"CPIAUCSL, NASDAQCOM, SP500",0.7184352926233473,0.71651553325487,1.1486607580320914e-120,4481.735344634834,4498.118642884563
"CPIAUCSL, REVOLSL, SP500",0.7446561938919957,0.7429152133958048,5.349239777241399e-130,4438.333726945901,4454.7170251956295
"PCESV, RSAFS, PPIACO",0.685146918882666,0.6830001933295933,5.327171942589158e-110,4531.349606646811,4547.732904896539
"PCESV, RSAFS, NASDAQCOM",0.7090154350600375,0.7070314493899923,1.5904708068274145e-117,4496.3464685784265,4512.729766828155
"PCESV, RSAFS, REVOLSL",0.6780285466756266,0.6758332867665968,7.249638091366725e-108,4541.276010959722,4557.659309209451
"PCESV, RSAFS, SP500",0.7138201364248598,0.7118689100823019,4.094390410475408e-119,4488.9539939849765,4505.337292234705
"PCESV, PPIACO, NASDAQCOM",0.7170878129575422,0.7151588662277073,3.280523734750865e-120,4483.855120001901,4500.23841825163
"PCESV, PPIACO, REVOLSL",0.683871492077444,0.6817160704325175,1.2952447410158972e-109,4533.144556872321,4549.52785512205
"PCESV, PPIACO, SP500",0.71984920264572,0.71793908357285,3.7985517248934903e-121,4479.500129938068,4495.883428187797
"PCESV, NASDAQCOM, REVOLSL",0.7296448360643779,0.7278015054011805,1.5203800536441672e-124,4463.6975023380055,4480.080800587734
"PCESV, NASDAQCOM, SP500",0.703853098907459,0.7018339154909189,7.588252056105498e-116,4504.154383677661,4520.53768192739
"PCESV, REVOLSL, SP500",0.7448030458817478,0.7430630666491234,4.7137831723098305e-130,4438.07830253975,4454.461600789479
"RSAFS, PPIACO, NASDAQCOM",0.716734104820588,0.7148027464443647,4.3173377649017304e-120,4484.4098798492705,4500.793178098999
